tier,stat_family,status,recommended_combo,n_pool,graded_n,ungraded_n,wins,losses,pushes,HR,HR_ci95_low,HR_ci95_high,ROI,ROI_ci95_low,ROI_ci95_high,P_and_L,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,over_grd,over_roi,under_grd,under_roi,daily_consistency_score,daily_graded_days,outlier_top1_pct_of_net,outlier_top5_pct_of_net,is_outlier_dependent,corr_hr20_vs_profit,corr_edge_vs_profit,corr_cv_vs_profit,corr_tp_vs_profit,artifact_json
safe_haven,pitcher_strikeouts,ok,HR20=90 TP=65,565,159,16,152,7,0,95.6,91.19,97.85,2.0,-1.83,5.18,3.1796,0.87,0,,159,2.0,159,2.0,0,,0.667,12,9.68,42.84,False,0.0091,0.1428,-0.0181,0.0868,/app/backend/audits/gss_mlb_safe_haven_pitcher_strikeouts_2026-05-03_2026-05-15_20260518T154405.json
safe_haven,batter_strikeouts,ok,HR20=85 CV<==1.0,421,75,10,61,14,0,81.33,71.07,88.54,1.09,-10.46,11.02,0.8164,0.7174,0,,75,1.09,75,1.09,0,,0.615,13,38.64,190.01,True,0.0073,0.0677,0.0811,0.031,/app/backend/audits/gss_mlb_safe_haven_batter_strikeouts_2026-05-03_2026-05-15_20260518T154405.json
safe_haven,hits,ok,HR20=70 TP=65,296,23,3,19,4,0,82.61,62.86,93.02,6.91,-15.44,24.06,1.5888,0.6975,0,,23,6.91,23,6.91,0,,0.5,8,20.98,104.9,True,0.0209,0.0381,0.0022,0.0984,/app/backend/audits/gss_mlb_safe_haven_hits_2026-05-03_2026-05-15_20260518T154405.json
safe_haven,total_bases,ok,HR20=75 TP=70,350,21,3,15,6,0,71.43,50.04,86.19,-6.97,-32.06,17.98,-1.4644,0.4057,0,,21,-6.97,21,-6.97,0,,0.444,9,-22.76,-112.85,False,-0.0876,0.0174,0.0952,0.1176,/app/backend/audits/gss_mlb_safe_haven_total_bases_2026-05-03_2026-05-15_20260518T154405.json
safe_haven,earned_runs,ok,HR20=50 CV<==0.9,121,46,10,30,16,0,65.22,50.77,77.32,-19.63,-38.04,-1.41,-9.0276,0.3902,0,,46,-19.63,46,-19.63,0,,0.333,12,-3.55,-17.08,False,0.0463,0.0677,-0.1263,0.0121,/app/backend/audits/gss_mlb_safe_haven_earned_runs_2026-05-03_2026-05-15_20260518T154405.json
safe_haven,hits_runs_rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,pitcher_hits_allowed,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,pitcher_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,stolen_bases,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,batter_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
