tier,stat_family,status,recommended_combo,n_pool,graded_n,ungraded_n,wins,losses,pushes,HR,HR_ci95_low,HR_ci95_high,ROI,ROI_ci95_low,ROI_ci95_high,P_and_L,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,over_grd,over_roi,under_grd,under_roi,daily_consistency_score,daily_graded_days,outlier_top1_pct_of_net,outlier_top5_pct_of_net,is_outlier_dependent,corr_hr20_vs_profit,corr_edge_vs_profit,corr_cv_vs_profit,corr_tp_vs_profit,artifact_json
safe_haven,pitcher_strikeouts,ok,HR20=75 CV<==0.4,565,63,92,61,2,0,96.83,89.14,99.13,6.64,1.16,11.11,4.1826,0.9164,0,,63,6.64,63,6.64,0,,0.818,11,7.36,33.31,False,0.0537,0.0761,-0.0622,-0.0368,/app/backend/audits/gss_mlb_safe_haven_pitcher_strikeouts_2026-05-03_2026-05-15_20260518T170221.json
safe_haven,total_bases,ok,HR20=70 TP=70,350,21,6,17,4,0,80.95,60.0,92.33,5.1,-19.49,24.25,1.0703,0.7879,0,,21,5.1,21,5.1,0,,0.667,9,31.14,154.41,True,0.003,0.169,-0.1559,0.2165,/app/backend/audits/gss_mlb_safe_haven_total_bases_2026-05-03_2026-05-15_20260518T170221.json
safe_haven,batter_strikeouts,ok,HR20=90 CV<==0.7,421,24,15,21,3,0,87.5,69.0,95.66,7.51,-9.12,22.75,1.8031,0.7844,0,,24,7.51,24,7.51,0,,0.75,12,16.96,79.41,True,-0.0215,-0.0341,0.1268,-0.1019,/app/backend/audits/gss_mlb_safe_haven_batter_strikeouts_2026-05-03_2026-05-15_20260518T170221.json
safe_haven,earned_runs,ok,HR20=60 CV<==1.0,121,24,34,16,8,0,66.67,46.71,82.03,-18.5,-40.13,4.09,-4.4392,0.4084,0,,24,-18.5,24,-18.5,0,,0.5,12,-7.22,-34.02,False,-0.2439,-0.2696,0.4051,-0.1647,/app/backend/audits/gss_mlb_safe_haven_earned_runs_2026-05-03_2026-05-15_20260518T170221.json
safe_haven,hits,insufficient_graded,,296,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,hits_runs_rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,runs,insufficient_graded,,130,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,pitcher_hits_allowed,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,pitcher_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,stolen_bases,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safe_haven,batter_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
