tier,stat_family,status,recommended_combo,n_pool,graded_n,ungraded_n,wins,losses,pushes,HR,HR_ci95_low,HR_ci95_high,ROI,ROI_ci95_low,ROI_ci95_high,P_and_L,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,over_grd,over_roi,under_grd,under_roi,daily_consistency_score,daily_graded_days,outlier_top1_pct_of_net,outlier_top5_pct_of_net,is_outlier_dependent,corr_hr20_vs_profit,corr_edge_vs_profit,corr_cv_vs_profit,corr_tp_vs_profit,artifact_json
front_lines,batter_strikeouts,ok,HR20=65 TP=75,2100,313,59,222,91,0,70.93,65.67,75.68,7.42,-0.24,15.44,23.2235,0.6249,0,,313,7.42,313,7.42,0,,0.615,13,5.17,21.4,False,0.0441,0.0632,-0.0093,0.0783,/app/backend/audits/gss_mlb_front_lines_batter_strikeouts_2026-05-03_2026-05-15_20260518T202813.json
front_lines,pitcher_strikeouts,ok,HR20=50 EDG=-5,772,132,13,88,44,0,66.67,58.25,74.14,11.31,-3.73,24.59,14.9295,0.6223,79,16.4,53,3.72,110,12.37,22,5.99,0.692,13,9.71,45.88,False,-0.0034,0.0168,-0.0225,0.0541,/app/backend/audits/gss_mlb_front_lines_pitcher_strikeouts_2026-05-03_2026-05-15_20260518T202813.json
front_lines,earned_runs,ok,EDG=10,609,124,17,73,51,0,58.87,50.07,67.14,12.63,-5.23,29.71,15.6616,0.5656,115,9.88,9,47.75,47,6.79,77,16.19,0.667,12,9.0,41.44,False,0.0316,0.0688,-0.015,-0.0041,/app/backend/audits/gss_mlb_front_lines_earned_runs_2026-05-03_2026-05-15_20260518T202813.json
front_lines,hits,ok,HR20=75 EDG=10,4223,185,23,132,53,0,71.35,64.45,77.38,9.78,-0.28,19.59,18.1009,0.5563,167,10.22,18,5.7,184,10.38,1,-100.0,0.692,13,5.07,24.72,False,-0.0421,0.0355,0.0079,-0.0431,/app/backend/audits/gss_mlb_front_lines_hits_2026-05-03_2026-05-15_20260518T202813.json
front_lines,total_bases,ok,HR20=75 EDG=10,6734,219,31,149,70,0,68.04,61.59,73.86,5.12,-4.95,15.25,11.2205,0.4572,108,7.27,111,3.03,219,5.12,0,,0.769,13,11.14,46.47,False,-0.0306,0.0179,0.0076,0.0063,/app/backend/audits/gss_mlb_front_lines_total_bases_2026-05-03_2026-05-15_20260518T202813.json
front_lines,runs,ok,BK=1,3699,3191,508,1782,1409,0,55.84,54.12,57.56,-2.99,-6.03,0.33,-95.3599,0.3931,3148,-2.99,43,-3.07,1121,-15.25,2070,3.65,0.154,13,-1.56,-7.72,False,-0.0031,-0.0136,0.0015,0.0441,/app/backend/audits/gss_mlb_front_lines_runs_2026-05-03_2026-05-15_20260518T202813.json
front_lines,rbis,ok,TP=50 EDG=5,132,83,10,31,52,0,37.35,27.72,48.1,-12.07,-37.29,12.19,-10.02,0.2293,0,,83,-12.07,83,-12.07,0,,0.308,13,-14.87,-73.05,False,0.0583,0.0328,0.057,0.0313,/app/backend/audits/gss_mlb_front_lines_rbis_2026-05-03_2026-05-15_20260518T202813.json
front_lines,hits_runs_rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,pitcher_hits_allowed,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,pitcher_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,stolen_bases,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,batter_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
