tier,stat_family,status,recommended_combo,n_pool,graded_n,ungraded_n,wins,losses,pushes,HR,HR_ci95_low,HR_ci95_high,ROI,ROI_ci95_low,ROI_ci95_high,P_and_L,balanced_score,devig_grd,devig_roi,onesided_std_grd,onesided_std_roi,over_grd,over_roi,under_grd,under_roi,daily_consistency_score,daily_graded_days,outlier_top1_pct_of_net,outlier_top5_pct_of_net,is_outlier_dependent,corr_hr20_vs_profit,corr_edge_vs_profit,corr_cv_vs_profit,corr_tp_vs_profit,artifact_json
front_lines,pitcher_strikeouts,ok,HR20=50 CV<==0.5,772,104,71,74,30,0,71.15,61.82,78.98,15.03,-0.28,30.27,15.6334,0.7644,53,19.17,51,10.74,96,12.35,8,47.27,0.769,13,9.27,42.54,False,0.0537,-0.097,-0.0151,-0.0498,/app/backend/audits/gss_mlb_front_lines_pitcher_strikeouts_2026-05-03_2026-05-15_20260518T154725.json
front_lines,earned_runs,ok,HR20=55 CV<==0.9,609,49,33,34,15,0,69.39,55.47,80.48,13.67,-10.23,35.54,6.6998,0.6711,25,16.05,24,11.2,33,3.41,16,34.85,0.75,12,16.42,79.4,True,-0.0018,0.0475,0.0252,-0.0946,/app/backend/audits/gss_mlb_front_lines_earned_runs_2026-05-03_2026-05-15_20260518T154725.json
front_lines,batter_strikeouts,ok,HR20=70 TP=70,2100,194,76,140,54,0,72.16,65.47,77.99,7.36,-2.94,16.41,14.2743,0.6448,0,,194,7.36,194,7.36,0,,0.769,13,7.01,31.84,False,0.0255,0.0178,-0.018,0.0152,/app/backend/audits/gss_mlb_front_lines_batter_strikeouts_2026-05-03_2026-05-15_20260518T154725.json
front_lines,hits,ok,HR20=75 TP=75,4223,172,100,121,51,0,70.35,63.14,76.67,5.71,-5.2,15.05,9.8229,0.5348,151,5.15,21,9.76,172,5.71,0,,0.692,13,9.25,41.54,False,-0.0598,0.0647,-0.0015,0.0001,/app/backend/audits/gss_mlb_front_lines_hits_2026-05-03_2026-05-15_20260518T154725.json
front_lines,total_bases,ok,HR20=75 TP=75,6734,222,111,151,71,0,68.02,61.62,73.8,3.85,-6.11,13.17,8.558,0.4678,97,9.81,125,-0.77,222,3.85,0,,0.615,13,14.61,60.23,True,-0.0464,0.0116,-0.0151,-0.0215,/app/backend/audits/gss_mlb_front_lines_total_bases_2026-05-03_2026-05-15_20260518T154725.json
front_lines,runs,ok,HR20=50 CV<==1.0,3699,96,289,52,44,0,54.17,44.23,63.78,7.24,-12.79,27.88,6.9505,0.363,94,9.52,2,-100.0,77,3.93,19,20.65,0.75,12,21.44,104.89,True,0.0224,-0.0234,-0.004,0.0203,/app/backend/audits/gss_mlb_front_lines_runs_2026-05-03_2026-05-15_20260518T154725.json
front_lines,hits_runs_rbis,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,pitcher_hits_allowed,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,pitcher_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,stolen_bases,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
front_lines,batter_walks,no_pool,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
